SOFIA_name,Coordinates,Property,R37,Lbol,alpha,R,env_mass,env_mass_std,calc_mass,sLsun,sLsun_std,Lbol,inc,ext,s
NGC7129.3,21h42m59.7s +66d06m11.3s,Extended,2.57200990698,60.4101943482,2.19852604948,0.383391371369,0.384000003338,0.153388664126,,331.199981689,28.0918540955,60.4101943482,18.6717185974,14.0,1.14999997616
Oph.8,16h27m37.2s -24d30m34.8s,Isolated,1.01530330326,5.01777861626,0.550147295028,1.13320243545,0.00700000021607,0.00184333475772,0.0255648969108,17.716999054,3.38727927208,5.01777861626,77.8468017578,12.0,0.699999988079
Oph.11,16h26m59.2s -24d35m00.2s,Extended,2.60047121984,4.03429925371,2.03983560319,0.740172284297,0.0340000018477,0.0102320499718,,11.8999996185,1.91630113125,4.03429925371,77.8468017578,14.0,0.699999988079
NGC1333.9,03h28m55.6s +31d14m36.6s,Isolated,0.79950882835,24.2829848534,2.87613300204,2.62430016271,2.91899991035,0.353591054678,1.7205062465,17.0,2.41245937347,24.2829848534,18.6717185974,14.0,0.850000023842
NGC2071.3,05h47m05.4s +00d21m50.3s,Isolated,0.0,113.691394226,1.0087249128,1.5069649145,0.171000003815,0.31720867753,6.21231342705,28.75,7.85069513321,113.691394226,18.6717185974,14.0,1.29999995232
NGC7129.1,21h43m06.4s +66d06m55.4s,Extended,0.0,126.310023668,0.280597895249,1.5370447437,0.0509999990463,0.0143595999107,,249.599990845,31.0813961029,126.310023668,37.8636474609,0.0,1.29999995232
CepA.2,22h56m03.0s +62d02m58.0s,Extended,1.71129462762,25.0103335749,1.86470840941,0.786112822592,0.11400000006,0.0268184691668,,163.200012207,21.2947750092,25.0103335749,18.6717185974,14.0,0.699999988079
Oph.1,16h27m10.3s -24d19m12.9s,Isolated,0.916298194129,3.63309639601,0.277297705756,0.666547474762,0.00999999977648,0.00181967089884,0.0404777534421,7.875,1.27332532406,3.63309639601,77.8468017578,3.0,0.699999988079
NGC7129.2,21h43m01.8s +66d07m08.7s,Extended,1.60337989127,62.669903768,1.19315660823,0.639553525299,6.56799983978,3.02811694145,,72.25,9.04447174072,62.669903768,0.0,14.0,0.850000023842
NGC1333.11,03h28m37.1s +31d13m30.0s,Isolated,1.01680975093,7.47518860166,1.66803840642,0.986344530114,0.577000021935,0.132801041007,0.269296629887,7.69999980927,0.703212618828,7.47518860166,18.6717185974,14.0,0.850000023842
NGC2264.15,06h41m12.7s +09d29m04.5s,Isolated,1.02571586706,86.2858336494,0.722092798826,1.7710433801,0.0149999996647,0.00428133597597,,374.399993896,31.2584266663,86.2858336494,26.525352478,13.0,1.29999995232
IRAS20050.3,20h07m06.3s +27d28m56.6s,Clustered,1.99829331699,12.8137508678,1.13466826383,0.732250572907,0.256000012159,0.113978140056,,48.4500007629,6.3407998085,12.8137508678,26.525352478,5.0,1.0
NGC2264.13,06h41m08.9s +09d29m44.9s,Isolated,1.26493622099,19.9354746389,1.35149847689,0.5914920941,0.11400000006,0.0207225680351,,147.199996948,13.9208602905,19.9354746389,71.5915222168,13.0,1.14999997616
Oph.4,16h27m02.5s -24d37m27.6s,Extended,1.80118920392,4.5030861546,0.185629488356,2.22414251891,0.00400000018999,0.000438892689999,0.0661813091197,14.2999992371,2.70284795761,4.5030861546,37.8636474609,14.0,1.29999995232
NGC1333.10,03h28m57.4s +31d14m15.0s,Isolated,0.79938862561,4.82224265136,1.79468213677,1.15585565088,0.256000012159,0.17840051651,0.448827716479,5.59999990463,0.929834246635,4.82224265136,18.6717185974,14.0,0.699999988079
NGC2264.16,06h41m02.8s +09d36m14.7s,Extended,2.12482037445,37.7832890824,0.410921448781,1.02695916221,0.0219999998808,0.00697128195316,,166.399993896,27.8228359222,37.7832890824,50.8332901001,9.0,1.29999995232
IRAS20050.4,20h07m05.9s +27d28m59.2s,Clustered,2.08720499578,14.9279079198,1.70484777641,0.23936378397,0.577000021935,0.216813117266,19.1736726831,48.4500007629,8.74366855621,14.9279079198,46.8264503479,5.0,1.29999995232
IRAS20050.2,20h07m06.2s +27d28m49.1s,Clustered,2.28046644929,8.00519656193,1.64028093703,0.757609837585,0.577000021935,0.217499107122,,26.6000003815,6.047498703,8.00519656193,18.6717185974,14.0,0.699999988079
S140.1,22h19m32.7s +63d19m24.4s,Isolated,0.913042833457,22.8660454868,1.82031277371,1.24823026501,4.37900018692,2.34651112556,,25.0,3.56968259811,22.8660454868,0.0,14.0,1.0
NGC1333.1,03h29m07.7s +31d21m57.0s,Isolated,0.746144557991,8.3845822239,0.290734592241,3.39843175454,0.00400000018999,0.0046753026545,0.972460052371,32.5,7.79543972015,8.3845822239,50.8332901001,14.0,1.29999995232
NGC1333.3,03h29m01.5s +31d20m20.5s,Isolated,0.904211634658,8.104207252,0.706480049001,3.39361285817,0.00400000018999,0.0271901749074,1.1220692912,3.5,2.05520224571,8.104207252,0.0,14.0,1.14999997616
NGC2264.1,06h41m04.5s +09d36m20.5s,Isolated,0.878480435775,8.89633871124,1.85973056838,0.448244946077,1.29700005054,0.286461502314,,43.7000007629,3.91289591789,8.89633871124,18.6717185974,11.0,1.14999997616
CepC.4,23h05m49.7s +62d30m00.8s,Extended,1.53578423997,15.3280282322,0.186968069805,2.06823873222,0.00999999977648,0.00335622299463,,11.8999996185,22.2626476288,15.3280282322,0.0,8.0,0.699999988079
Oph.6,16h27m15.7s -24d38m45.8s,Isolated,1.29413119865,0.767300326406,2.36276027446,0.901259481907,0.0010000000475,0.00136721332092,0.0200258359135,26.579000473,6.56240510941,0.767300326406,90.0,13.0,0.699999988079
Oph.2,16h26m44.2s -24d34m48.2s,Isolated,0.925523367665,1.19075734971,0.816605393428,1.96834240739,0.00400000018999,0.000314375589369,0.0511297938217,8.0,1.2239729166,1.19075734971,74.742477417,14.0,1.0
NGC7129.4,21h42m50.2s +66d06m36.1s,Extended,1.63215977375,27.6366216744,0.497577017135,1.20338437292,0.0219999998808,0.0139649957418,,128.0,28.9998321533,27.6366216744,90.0,0.0,1.14999997616
IRAS20050.1,20h07m06.6s +27d28m48.0s,Clustered,0.0,14.9078798429,0.0713131396905,0.741233583954,0.00400000018999,0.0,,128.0,15.3057880402,14.9078798429,65.0989379883,9.0,0.850000023842
Oph.9,16h27m21.8s -24d29m53.7s,Isolated,0.0,0.990687160773,0.488775122555,2.07677460214,0.0010000000475,0.0,0.00852163230361,11.8159990311,1.15939152241,0.990687160773,80.9152832031,14.0,0.699999988079
S140.2,22h19m20.9s +63d18m28.8s,Isolated,0.0,6.62052736746,1.20079867018,0.112254234729,0.0149999996647,0.0381341613829,,8.0,9.42943286896,6.62052736746,0.0,14.0,0.699999988079
