SOFIA_name,Coordinates,Property,j,e_j,h,e_h,ks,e_ks,i1,e_i1,i2,e_i2,i3,e_i3,i4,e_i4,F11,e_F11,F19,e_F19,m1,e_m1,F31,e_F31,F37,e_F37,m2,e_m2,H70,e_H70,H160,e_H160,H250,e_H250,H350,e_H350,H500,e_H500,S850,e_S850,F1100,e_F1100,S1300,e_S1300,R37,Lbol,alpha,R,env_mass,env_mass_std,calc_mass,sLsun,sLsun_std,Lbol,inc,ext,s
S140.1,22h19m32.7s +63d19m24.4s,Isolated,0.0007,0.0007,0.0009,0.0009,0.0015,0.002,0.0331552065909,0.00331552065909,0.133828341961,0.0133828341961,0.445346087217,0.0445346087217,0.973295450211,0.0973295450211,0.625067964187,0.0612733269923,3.55613157456,0.254917982539,,,9.96613309733,0.710952151937,11.0803521416,0.800019094907,,,,,,,,,,,,,,,,,,,0.913042833457,22.8660454868,1.82031277371,1.24823026501,4.37900018692,2.34651112556,,25.0,3.56968259811,22.8660454868,0.0,14.0,1.0
NGC1333.1,03h29m07.7s +31d21m57.0s,Isolated,0.00123961921781,0.000123961921781,0.00308673852123,0.000308673852123,0.0449500493705,0.00449500493705,0.696,0.0696,1.8,0.18,3.06,0.306,2.55,0.255,0.225415355671,0.169457779688,1.50184036037,0.207758950416,,0.26,6.88642032296,0.639683433004,10.9935058315,0.947935092529,49.3,4.93,52.7236619691,5.27236619691,66.5285948603,35.1967748003,71.5414478066,14.2575647414,45.559104965,17.8572281848,24.2635086228,16.3005842715,,,1.3,0.13,,,0.746144557991,8.3845822239,0.290734592241,3.39843175454,0.00400000018999,0.0046753026545,0.972460052371,32.5,7.79543972015,8.3845822239,50.8332901001,14.0,1.29999995232
NGC1333.3,03h29m01.5s +31d20m20.5s,Isolated,0.000801102956757,8.01102956757e-05,0.00286483578384,0.000286483578384,0.0295617412776,0.00295617412776,0.544,0.0544,1.09,0.109,1.69,0.211,3.06,0.306,1.68062923039,0.130992095331,6.90187959055,0.493400434371,,0.069,9.25565878764,0.655862346213,9.40644442255,0.694632183955,23.4,2.34,20.2179633178,2.02179633178,78.3158687294,7.83158687294,101.472320881,18.9431770707,70.9066022962,17.3708308101,40.8667742887,11.4740909354,,,1.5,0.15,,,0.904211634658,8.104207252,0.706480049001,3.39361285817,0.00400000018999,0.0271901749074,1.1220692912,3.5,2.05520224571,8.104207252,0.0,14.0,1.14999997616
NGC2264.1,06h41m04.5s +09d36m20.5s,Isolated,0.0007,0.0007,0.0009,0.0009,0.0015,0.002,0.0108380531892,0.00108380531892,0.0348777286708,0.00348777286708,0.0690395236015,0.00690395236015,0.113199561834,0.0113199561834,0.0644107321769,0.0644107321769,1.07208621402,0.0979859000733,2.59369659424,0.259369659424,5.93424690178,0.426526615369,9.12408142905,0.688968025907,,,,,,,,,,,,,,,,,,,0.878480435775,8.89633871124,1.85973056838,0.448244946077,1.29700005054,0.286461502314,,43.7000007629,3.91289591789,8.89633871124,18.6717185974,11.0,1.14999997616
CepC.4,23h05m49.7s +62d30m00.8s,Extended,0.0157938543707,0.00157938543707,0.0703234300017,0.00703234300017,0.160668388009,0.0160668388009,,,,,,,,,1.50157393475,0.110945289928,1.02243854319,0.0916809965532,,,4.46871471179,0.319994397979,8.44515624056,0.595593322265,,,,,,,,,,,,,,,,,,,1.53578423997,15.3280282322,0.186968069805,2.06823873222,0.00999999977648,0.00335622299463,,11.8999996185,22.2626476288,15.3280282322,0.0,8.0,0.699999988079
Oph.6,16h27m15.7s -24d38m45.8s,Isolated,0.0007,0.0007,0.0009,0.0009,0.0015,0.002,0.000653,0.00167,0.0297,0.00297,0.0374,0.0113,0.0592,0.0228,0.430812111286,0.140062099169,4.30505939359,0.331922232328,0.993,0.355,8.53879931115,0.616541118426,8.17948388249,0.625099605718,14000.0,1400.0,11.8495323347,1.18495323347,9.62249551589,4.26427607742,10.2242951282,10.2242951282,10.4648190164,10.4648190164,8.96817548148,8.96817548148,0.18,0.018,,,0.047,0.0047000002861,1.29413119865,0.767300326406,2.36276027446,0.901259481907,0.0010000000475,0.00136721332092,0.0200258359135,26.579000473,6.56240510941,0.767300326406,90.0,13.0,0.699999988079
Oph.2,16h26m44.2s -24d34m48.2s,Isolated,0.0007,0.0007,0.00320848310366,0.000320848310366,0.0152310691774,0.002,0.239,0.0239,0.744,0.0744,1.61,0.161,2.24,0.224,0.785941786482,0.102363671389,3.19089416364,0.294128841185,,0.0653,7.54814601642,0.601857255395,7.94113849476,0.766174350282,8.12,0.812,8.83050602827,0.883050602827,10.6406898638,1.88267315943,8.52756771277,5.28335188584,10.0970914757,7.4820948527,8.4557044126,8.4557044126,0.22,0.022,,,0.12,0.012,0.925523367665,1.19075734971,0.816605393428,1.96834240739,0.00400000018999,0.000314375589369,0.0511297938217,8.0,1.2239729166,1.19075734971,74.742477417,14.0,1.0
NGC7129.4,21h42m50.2s +66d06m36.1s,Extended,0.410476714373,0.0410476714373,0.330141365528,0.0330141365528,0.271850675344,0.0271850675344,0.157235860825,0.0157235860825,0.124321997166,0.0124321997166,0.107819601893,0.0107819601893,0.0946770012379,0.00946770012379,0.123808356147,0.0392373851187,2.1906567894,0.158801327855,,,6.86377758243,0.496666112651,6.52365407013,0.466794767217,,,,,,,,,,,,,,,,,,,1.63215977375,27.6366216744,0.497577017135,1.20338437292,0.0219999998808,0.0139649957418,,128.0,28.9998321533,27.6366216744,90.0,0.0,1.14999997616
IRAS20050.1,20h07m06.6s +27d28m48.0s,Clustered,0.00211294461042,0.000211294461042,0.0421017147601,0.00421017147601,0.213958889246,0.0213958889246,0.489159301263,0.0489159301263,0.570046836913,0.0570046836913,0.731243681949,0.0731243681949,0.857891775772,0.0857891775772,0.643346791672,0.0676568103754,1.93258750445,0.202346219305,,,4.49746454866,0.352530178173,6.32387156384,0.593341250052,,,,,,,,,,,,,,,,,,,0.0,14.9078798429,0.0713131396905,0.741233583954,0.00400000018999,0.0,,128.0,15.3057880402,14.9078798429,65.0989379883,9.0,0.850000023842
Oph.9,16h27m21.8s -24d29m53.7s,Isolated,0.0007,0.0007,0.0009,0.0009,0.0311265084893,0.00311265084893,0.467,0.0467,0.925,0.0925,1.44,0.144,1.73,0.173,1.16717630044,0.118828324245,3.42453965605,0.304218695935,4.36,0.436,6.0275309001,0.494174988593,5.80611571019,0.72961884109,5.11,0.521,4.5648784025,0.45648784025,3.19173523568,1.06685926081,,,,,,,0.03,0.003,,,0.02,0.002,0.0,0.990687160773,0.488775122555,2.07677460214,0.0010000000475,0.0,0.00852163230361,11.8159990311,1.15939152241,0.990687160773,80.9152832031,14.0,0.699999988079
